Stock Symbols,Variances,Returns
MMM,0.03480263808683064,-0.195730944269452
AXP,0.09576777221782123,0.3432135790666663
AMGN,0.04390301301956051,0.02010798798371497
AAPL,0.05851668079112868,0.4341879204132677
BA,0.12192913885818826,-0.2007689959963551
CAT,0.0642189907465038,-0.0007916825325953236
CVX,0.06152653811575922,0.5156803602747214
CSCO,0.04034418862762871,0.11905889068954599
KO,0.021709065785684257,0.1971227326312155
DOW,0.07090357256454732,0.07372270940221268
GS,0.06644865591444886,0.07514175754684266
HD,0.052532485434581874,0.08805872942662059
HON,0.043609270368019495,-0.058714069360951915
IBM,0.04262325143196494,0.09310830626955288
INTC,0.08104091681552604,-0.13036222473161532
JNJ,0.02198419774354709,0.10991872673098833
JPM,0.05640425920695189,-0.03795694035477355
MCD,0.024950819969855775,0.13215420877335157
MRK,0.05415662810143232,0.1674583760548286
MSFT,0.055407601693831604,0.34242446736570936
NKE,0.0867368428773032,0.09521840308896942
PG,0.025247867024486413,0.1739801828043804
CRM,0.1116579892777896,0.10826143030674665
TRV,0.04404306118986893,0.2201041212786381
UNH,0.03991553508261984,0.34487273122364415
VZ,0.01893438481072091,-0.0784128712066633
V,0.06907578586240448,0.11384511184844293
WMT,0.025423193277809182,0.10900394487319026
WBA,0.06307480472024919,-0.03280676820036895
DIS,0.06104830591180943,-0.23291801649050484
