Stock Symbols,Variances,Returns,Cluster_labels
MMM,0.0348026380868306,-0.195730944269452,3
AXP,0.0957677722178212,0.3432135790666663,1
AMGN,0.0439030130195605,0.0201079879837149,2
AAPL,0.0585166807911286,0.4341879204132677,1
BA,0.1219291388581882,-0.2007689959963551,3
CAT,0.0642189907465038,-0.0007916825325953,2
CVX,0.0615265381157592,0.5156803602747214,1
CSCO,0.0403441886276287,0.1190588906895459,0
KO,0.0217090657856842,0.1971227326312155,4
DOW,0.0709035725645473,0.0737227094022126,0
GS,0.0664486559144488,0.0751417575468426,0
HD,0.0525324854345818,0.0880587294266205,0
HON,0.0436092703680194,-0.0587140693609519,2
IBM,0.0426232514319649,0.0931083062695528,0
INTC,0.081040916815526,-0.1303622247316153,3
JNJ,0.021984197743547,0.1099187267309883,0
JPM,0.0564042592069518,-0.0379569403547735,2
MCD,0.0249508199698557,0.1321542087733515,0
MRK,0.0541566281014323,0.1674583760548286,4
MSFT,0.0554076016938316,0.3424244673657093,1
NKE,0.0867368428773032,0.0952184030889694,0
PG,0.0252478670244864,0.1739801828043804,4
CRM,0.1116579892777896,0.1082614303067466,0
TRV,0.0440430611898689,0.2201041212786381,4
UNH,0.0399155350826198,0.3448727312236441,1
VZ,0.0189343848107209,-0.0784128712066633,2
V,0.0690757858624044,0.1138451118484429,0
WMT,0.0254231932778091,0.1090039448731902,0
WBA,0.0630748047202491,-0.0328067682003689,2
DIS,0.0610483059118094,-0.2329180164905048,3
