Stock Symbols,Variances,Returns,Cluster_labels,Cluster_legend
MMM,0.03929483779155304,-0.07133203632561506,0,Negative Returns
BA,0.1373896512624844,-0.02359168973986318,0,Negative Returns
HON,0.04297242820441114,-0.025581784494373726,0,Negative Returns
NKE,0.08436001811502275,0.0029404485101602023,0,Negative Returns
CRM,0.10521427109392589,0.01521714091162558,0,Negative Returns
VZ,0.022883880128644955,-0.03917407844754732,0,Negative Returns
DIS,0.06903560134825738,-0.18817089640357373,0,Negative Returns
AXP,0.09556780215072118,0.40748108973718566,4,Medium Returns
UNH,0.04100349758635425,0.3365256649433619,4,Medium Returns
AMGN,0.04285553088449075,0.09698405998141743,3,Close to zero Returns
KO,0.02529818336997691,0.1523775111875062,3,Close to zero Returns
HD,0.05362233132309324,0.15025914924253483,3,Close to zero Returns
IBM,0.05034953763128364,0.13664886623692651,3,Close to zero Returns
INTC,0.10556678580849085,0.05177289377701595,3,Close to zero Returns
JNJ,0.02366618200035107,0.13568969032621897,3,Close to zero Returns
JPM,0.057726602220835005,0.10343422834698332,3,Close to zero Returns
MCD,0.026838799252490872,0.15523533410131424,3,Close to zero Returns
MRK,0.05077851644797787,0.11489240063049667,3,Close to zero Returns
PG,0.02629864803074145,0.12369588921193575,3,Close to zero Returns
V,0.07077071924871907,0.0686572486206576,3,Close to zero Returns
WMT,0.02970177810108394,0.06756580877060617,3,Close to zero Returns
WBA,0.073292851061892,0.15009285169558176,3,Close to zero Returns
AAPL,0.06813267566341798,0.25726830420230884,1,Acceptable Positive Returns
CAT,0.07006546981847245,0.20532626113305483,1,Acceptable Positive Returns
CSCO,0.04145259808004583,0.222265183554528,1,Acceptable Positive Returns
DOW,0.08139628730351164,0.20109507739858146,1,Acceptable Positive Returns
GS,0.06916584161184111,0.23229885506278963,1,Acceptable Positive Returns
MSFT,0.056540114780711234,0.2996635245860366,1,Acceptable Positive Returns
TRV,0.048339365406431974,0.2672762281566471,1,Acceptable Positive Returns
CVX,0.06571294865139521,0.6123576266771574,2,Really good Positive Returns
